# AGH 过滤明细日志 - 生成于 2026-02-18 10:26:53.096248
# 总计过滤: 6039 条
================================================================================
[白名单] @@||ui.ads.microsoft.com^                # 被父域 [ads.microsoft.com] 覆盖
[黑名单] ||*cdn-settings.appsflyersdk.com^        # 被父域 [appsflyersdk.com] 覆盖
[黑名单] ||*conversions.appsflyersdk.com^         # 被父域 [appsflyersdk.com] 覆盖
[黑名单] ||*launches.appsflyersdk.com^            # 被父域 [appsflyersdk.com] 覆盖
[黑名单] ||*register.appsflyersdk.com^            # 被父域 [appsflyersdk.com] 覆盖
[黑名单] ||1.lishibu.com^                         # 被父域 [lishibu.com] 覆盖
[黑名单] ||100.admin5.com^                        # 被父域 [admin5.com] 覆盖
[黑名单] ||1000ps.oewabox.at^                     # 被父域 [oewabox.at] 覆盖
[黑名单] ||13js1lbtbj3.sparkloop.app^             # 被父域 [sparkloop.app] 覆盖
[黑名单] ||2.livejasmin.com^                      # 被父域 [livejasmin.com] 覆盖
[黑名单] ||22153974.branch.rocks^                 # 被父域 [branch.rocks] 覆盖
[黑名单] ||2468.go2cloud.org^                     # 被父域 [go2cloud.org] 覆盖
[黑名单] ||a.adsession.com^                       # 被父域 [adsession.com] 覆盖
[黑名单] ||a.deadlinefunnel.com^                  # 被父域 [deadlinefunnel.com] 覆盖
[黑名单] ||a.dynad.net^                           # 被父域 [dynad.net] 覆盖
[黑名单] ||a.etology.com^                         # 被父域 [etology.com] 覆盖
[黑名单] ||a.fapcat.com^                          # 被父域 [fapcat.com] 覆盖
[黑名单] ||a.hstrck.com^                          # 被父域 [hstrck.com] 覆盖
[黑名单] ||a.itsmore.cn^                          # 被父域 [itsmore.cn] 覆盖
[黑名单] ||a.mabipa.com^                          # 被父域 [mabipa.com] 覆盖
[黑名单] ||a.miyudaquan.top^                      # 被父域 [miyudaquan.top] 覆盖
[黑名单] ||a.plerdy.com^                          # 被父域 [plerdy.com] 覆盖
[黑名单] ||a.triggit.com^                         # 被父域 [triggit.com] 覆盖
[黑名单] ||a.visualrevenue.com^                   # 被父域 [visualrevenue.com] 覆盖
[黑名单] ||a.wifi33.com^                          # 被父域 [wifi33.com] 覆盖
[黑名单] ||a1at.mno.link^                         # 被父域 [mno.link] 覆盖
[黑名单] ||a3.ogt.jp^                             # 被父域 [ogt.jp] 覆盖
[黑名单] ||ab.cnbanbao.com^                       # 被父域 [cnbanbao.com] 覆盖
[黑名单] ||ac.atpanel.com^                        # 被父域 [atpanel.com] 覆盖
[黑名单] ||acbp0020171456.page.tl^                # 被父域 [page.tl] 覆盖
[黑名单] ||accwww9.53kf.com^                      # 被父域 [53kf.com] 覆盖
[黑名单] ||active-email.branch.rocks^             # 被父域 [branch.rocks] 覆盖
[黑名单] ||ad*.nexage.com^                        # 被父域 [nexage.com] 覆盖
[黑名单] ||ad-specs.guoshipartners.com^           # 被父域 [guoshipartners.com] 覆盖
[黑名单] ||ad.adorika.com^                        # 被父域 [adorika.com] 覆盖
[黑名单] ||ad.adpon.jp^                           # 被父域 [adpon.jp] 覆盖
[黑名单] ||ad.afy11.net^                          # 被父域 [afy11.net] 覆盖
[黑名单] ||ad.bannerbank.ru^                      # 被父域 [bannerbank.ru] 覆盖
[黑名单] ||ad.lomadee.com^                        # 被父域 [lomadee.com] 覆盖
[黑名单] ||ad.yieldmanager.com^                   # 被父域 [yieldmanager.com] 覆盖
[黑名单] ||ad0.bigmir.net^                        # 被父域 [bigmir.net] 覆盖
[黑名单] ||ad1.bannerbank.ru^                     # 被父域 [bannerbank.ru] 覆盖
[黑名单] ||ad10.bannerbank.ru^                    # 被父域 [bannerbank.ru] 覆盖
[黑名单] ||ad11.bannerbank.ru^                    # 被父域 [bannerbank.ru] 覆盖
[黑名单] ||ad12.bannerbank.ru^                    # 被父域 [bannerbank.ru] 覆盖
[黑名单] ||ad131m.adk2.co^                        # 被父域 [adk2.co] 覆盖
[黑名单] ||ad2.bannerbank.ru^                     # 被父域 [bannerbank.ru] 覆盖
[黑名单] ||ad3.bannerbank.ru^                     # 被父域 [bannerbank.ru] 覆盖
[黑名单] ||ad4.bannerbank.ru^                     # 被父域 [bannerbank.ru] 覆盖
[黑名单] ||ad5.bannerbank.ru^                     # 被父域 [bannerbank.ru] 覆盖
[黑名单] ||ad6.bannerbank.ru^                     # 被父域 [bannerbank.ru] 覆盖
[黑名单] ||ad7.bannerbank.ru^                     # 被父域 [bannerbank.ru] 覆盖
[黑名单] ||ad7.bigmir.net^                        # 被父域 [bigmir.net] 覆盖
[黑名单] ||ad8.bannerbank.ru^                     # 被父域 [bannerbank.ru] 覆盖
[黑名单] ||ad9.bannerbank.ru^                     # 被父域 [bannerbank.ru] 覆盖
[黑名单] ||admin.adsession.com^                   # 被父域 [adsession.com] 覆盖
[黑名单] ||admin.etology.com^                     # 被父域 [etology.com] 覆盖
[黑名单] ||ado.icorp.ro^                          # 被父域 [icorp.ro] 覆盖
[黑名单] ||adpia130611.adpinfo.com^               # 被父域 [adpinfo.com] 覆盖
[黑名单] ||ads-ios-sdk.ogury.co^                  # 被父域 [ogury.co] 覆盖
[黑名单] ||ads-rm.looksmart.com^                  # 被父域 [looksmart.com] 覆盖
[黑名单] ||ads.ad2iction.com^                     # 被父域 [ad2iction.com] 覆盖
[黑名单] ||ads.addynamix.com^                     # 被父域 [addynamix.com] 覆盖
[黑名单] ||ads.adsbookie.com^                     # 被父域 [adsbookie.com] 覆盖
[黑名单] ||ads.adsrvmedia.com^                    # 被父域 [adsrvmedia.com] 覆盖
[黑名单] ||ads.adviad.com^                        # 被父域 [adviad.com] 覆盖
[黑名单] ||ads.asiafriendfinder.com^              # 被父域 [asiafriendfinder.com] 覆盖
[黑名单] ||ads.belointeractive.com^               # 被父域 [belointeractive.com] 覆盖
[黑名单] ||ads.bizx.info^                         # 被父域 [bizx.info] 覆盖
[黑名单] ||ads.bulldogcpi.com^                    # 被父域 [bulldogcpi.com] 覆盖
[黑名单] ||ads.businessclick.com^                 # 被父域 [businessclick.com] 覆盖
[黑名单] ||ads.program3.com^                      # 被父域 [program3.com] 覆盖
[黑名单] ||ads.redlightcenter.com^                # 被父域 [redlightcenter.com] 覆盖
